location,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport
lat,15.87821,15.87821,15.87821,15.87821
lon,108.28125,108.28125,108.28125,108.28125
asl,26.241,26.241,26.241,26.241
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total
unit,°C,%,hPa,mm
level,2 m elevation corrected,2 m,MSL,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
,,,,
,,,,
timestamp,Temperature,Relative Humidity,Mean Sea Level Pressure,Total Precipitation
20190117T1600,21.855566,90.39291,1016.2,2.7
20190117T1700,21.135567,90.96688,1016.5,2.4
20190117T1800,21.455566,88.47854,1017.1,3
20190117T1900,21.605566,91.673355,1018,2.1
20190117T2000,21.385567,91.43434,1018.6,1.9
20190117T2100,21.455566,91.438286,1019,1.8
20190117T2200,21.245565,91.03002,1019.3,1.4
20190117T2300,20.915565,92.20682,1018.9,2.7
20190118T0000,21.045567,90.96145,1018.2,3.4
20190118T0100,21.075565,91.13308,1017.7,3.1
20190118T0200,20.765566,89.873085,1017.3,1.8
20190118T0300,21.155565,90.12365,1016.7,1.3
20190118T0400,21.155565,90.460594,1017,0.8
20190118T0500,21.535566,90.48468,1017,0.3
20190118T0600,21.975567,89.95455,1018.1,0.4
20190118T0700,21.455566,89.30758,1018.6,0.6
20190118T0800,21.275566,90.46824,1019.4,0.4
20190118T0900,23.035566,82.98868,1019.5,0.7
20190118T1000,22.835566,83.689835,1019.6,1.3
20190118T1100,22.855566,86.90899,1019.3,0.5
20190118T1200,24.425566,79.15135,1018.5,0.5
20190118T1300,24.435566,81.77716,1017.2,0.4
20190118T1400,23.945566,84.01418,1016.3,0
20190118T1500,24.515566,82.28994,1015.7,0.4
20190118T1600,24.375566,81.26899,1016,0.2
20190118T1700,23.085566,86.44818,1016.4,0.1
20190118T1800,22.945566,85.79792,1016.9,0.1
20190118T1900,22.865566,87.07079,1017.4,0
20190118T2000,22.985565,86.59931,1018,0
20190118T2100,23.075565,89.640785,1018.4,0
20190118T2200,22.745565,89.34334,1018.4,0.4
20190118T2300,21.865566,89.724815,1018,0.2
20190119T0000,21.355566,94.71447,1017.7,0.1
20190119T0100,20.875566,95.58234,1017.1,0
20190119T0200,21.585566,94.25599,1016.4,0
20190119T0300,21.195566,95.06101,1015.8,0
20190119T0400,21.575565,93.84956,1015.5,0
20190119T0500,21.665565,95.77963,1015.9,0
20190119T0600,21.655565,94.957794,1016.1,0
20190119T0700,21.745565,94.31978,1016.6,0
20190119T0800,21.675566,95.19247,1017.1,0
20190119T0900,23.775566,83.48114,1017.6,0
20190119T1000,23.805567,86.51172,1017.6,0.1
20190119T1100,23.755566,89.959984,1016.8,0
20190119T1200,25.505566,83.71515,1016,0.3
20190119T1300,25.925566,80.81264,1014.7,0
20190119T1400,25.655565,82.41886,1014.1,0.9
20190119T1500,25.925566,80.960205,1014,0.2
20190119T1600,25.725567,80.54251,1014.2,0.3
20190119T1700,23.555567,90.11214,1014.4,0.2
